index,time,event,player_id,starred
318,1768.62,pass,5,0
319,1771.96,pass,6,0
320,1776.87,pass,15,0
321,1782.87,pass,6,0
322,1784.30,interception,2,0
323,1784.93,shot,2,0
324,1785.65,save,6,0
325,1791.25,pass,6,0
326,1796.16,pass,15,0
327,1796.88,interception,11,0
328,1798.35,pass,11,0
329,1800.83,shot,3,0
330,1801.16,block,12,0
331,1806.06,pass,3,0
332,1818.46,pass,3,0
333,1819.81,pass,2,0
334,1820.45,pass,3,0
335,1821.03,shot,9,0
336,1838.11,pass,12,0
337,1842.81,pass,10,0
338,1846.25,pass,3,0
339,1848.96,pass,9,0
340,1850.14,shot,2,0
341,1860.78,pass,6,0
342,1861.45,clearance,3,0
343,1874.97,pass,15,0
344,1876.39,assist,11,0
345,1878.32,goal,2,1
346,1896.62,pass,1,0
347,1898.54,pass,15,0
348,1900.40,pass,4,0
349,1900.79,block,3,0
350,1912.69,pass,5,0
351,1913.33,clearance,11,0
352,1921.87,pass,5,0
353,1924.13,pass,4,0
354,1926.88,tackle,11,0
355,1928.81,pass,3,0
356,1929.49,foul,9,0
357,1950.52,pass,15,0
358,1952.56,pass,6,0
359,1953.54,save,10,0
360,1958.41,pass,10,0
361,1960.60,pass,8,0
362,1962.61,pass,7,0
363,1963.19,pass,8,0
364,1964.35,block,4,0
365,1967.11,tackle,1,0
366,1964.37,tackle,7,0
367,1965.77,block,4,0
368,1966.81,tackle,1,0
369,1968.08,pass,7,0
370,1969.09,block,4,0
371,1970.92,foul,11,0
372,1985.98,pass,1,0
373,2001.61,pass,10,0
374,2003.31,pass,8,0
375,2005.19,tackle,13,0
376,2005.87,shot,5,0
377,2006.44,save,10,0
378,2008.81,pass,10,0
379,2011.11,pass,8,0
380,2012.65,pass,3,0
381,2013.53,pass,7,0
382,2015.36,interception,4,0
383,2017.29,pass,15,0
384,2021.50,tackle,11,0
385,2024.20,pass,1,0
386,2025.16,block,8,0
387,2027.75,pass,13,0
388,2028.86,pass,12,0
389,2031.96,pass,13,0
390,2033.42,interception,11,0
391,2034.51,pass,11,0
392,2036.42,pass,2,0
393,2038.43,pass,9,0
394,2038.73,block,4,0
395,2039.93,block,12,0
396,2041.19,clearance,12,0
397,2068.37,pass,2,0
398,2069.31,shot,16,0
399,2086.47,pass,6,0
400,2088.28,clearance,16,0
401,2093.80,pass,3,0
402,2096.36,pass,16,0
403,2099.47,pass,11,0
404,2102.83,pass,2,0
405,2104.19,shot,3,0
406,2105.87,block,15,0
407,2118.14,pass,9,0
408,2120.66,shot,2,0
409,2121.27,block,15,0
410,2136.65,pass,16,0
411,2138.20,pass,3,0
412,2138.96,clearance,1,0
413,2142.23,pass,13,0
414,2142.90,shot,1,0
415,2144.06,save,10,0
416,2158.79,pass,13,0
417,2170.26,pass,10,0
418,2171.66,pass,16,0
419,2177.57,pass,14,0
420,2182.81,pass,16,0
421,2185.53,assist,3,0
422,2186.52,goal,11,1
423,2207.94,pass,1,0
